respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start,tenure_cut,first_time_user
972b5d919e71,3,"सच कहूँ तो, आपके कस्टमर सपोर्ट एजेंट और सर्विस के साथ मेरा अनुभव बेहद खराब रहा है। हर महीने जब रिचार्ज खत्म होता है, तो रिचार्ज करने के बाद भी मुझे अपना इंटरनेट चालू करवाने के लिए आपको कॉल करना पड़ता है। इस वजह से मैं 3 से 4 दिनों तक इंटरनेट से कटा रहता हूँ। हालाँकि, मुझे ऐसी स्थिति के लिए कूपन दिए गए हैं, लेकिन मैं इन कूपनों का क्या करूँ? इंटरनेट की स्पीड खराब नहीं है क्योंकि मैं इसे अकेला इस्तेमाल करता हूँ, लेकिन आपकी पॉलिसी और कस्टमर सपोर्ट बहुत घटिया है। मुझे समझ नहीं आता कि हर बार रिचार्ज करने के बाद इंटरनेट सक्रिय करने के लिए मुझे कॉल क्यों करना पड़ता है।",General Bad Service,Bad Customer Support - Call Centre,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
effba26ba304,0,हप्ते हफ्ते तक कॉल करते रहते हैं और विओम के सदस्य कहते हैं 24 घंटे में aa जाएगा/मेरे यहां 6 दिन से विओम नहीं चल रहा और विओम का 24 घंटे अभी तक हुआ नहीं Aaj bhi nahin chal raha Main khud pareshan hun wiom se FIR Kisi Aur Ko kaise pareshan kar sakti hun,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
444ca6590805,0,"महीने में चार बार नेटवर्क का खराब होना और रेट बढ़ना 
 जबकि एयरटेल अभी तक ₹500 ही ले रहा है और आप 565 कर रहे हो",Frequent Disconnections,Expensive,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
46aa289fb93e,1,Excellent,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
921412fc94de,1,Good service,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
963a5530fed5,10,Muje Discount mile,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,No
b240bb2c19ae,0,Net nhi chalta sahi se 28 din ka richarge hota hai usme bhi. 5 6 din nhi chalta,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,
56df4a1f6ae5,7,Net sahi chalta h,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
7222f3ce3298,0,Wiom Technician,Bad Customer Support - Technician,,Bad Customer Support - Technician,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
3b230ba48f15,9,Osm,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,No
05565ab5c39d,2,Buffering,Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
0c6bd3870f24,5,service bahut slow hai aapki,Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,No
b75d6d8a2dea,10,Good experience,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
a0e0430c5530,10,Service achi hai but night me12 bje ke baad band ho jati hai,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
fb0fdd76caba,5,Ye iss liye kyunki network issue hota hai isliye or 5 renting dene ka motive ye hai ki aap isme 1 din ka bhi recharge kar sakte hai,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,No
3ffd78774805,9,Net acha hai par 7-12 lag marta hai,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
e1b17a305932,10,10,N/A,,N/A,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
181ccd1c7920,10,,,,,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,Yes
29bd24ebc642,0,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,No
3e865198e32c,5,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,No
43cd0e113e1c,7,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Unknown,No
3463597d765b,5,Good,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
682b4cfb46b1,4,Recharge option hai isliye,Flexibility,,Flexibility,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Early (1-2 mo),No
72bbac2b18bf,5,Wi fi chalte chalte kabhi bnd ho jata hai .,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Early (1-2 mo),Yes
f76a8d71355c,5,Not working properly,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Early (1-2 mo),No
d3af43a5acdb,5,Ki aap pehle iss samasya par dhyan de ki jo aapka wire wala net jaldi hi tot jata h iss wireless banae kyu ki ye sikayat bahut sari logo ki h ya kuch bhi dikkat aapke wifi me kuch bhi dikkat ho to aapka team member use thik kar de,No/Late Complaint Resolution,,No/Late Complaint Resolution,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Early (1-2 mo),No
523d019c83dc,0,Kyu ki agar 5 log bhi is ko join kar ka chalaya to net he nahi chalta hai,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Early (1-2 mo),Yes
ff5f336f9934,7,Costume service sahi nahi h,Bad Customer Support - Call Centre,,Bad Customer Support - Call Centre,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
f6192291af8e,10,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
9c11395772da,0,I had reached 29 March or now showing your recharge is expired in 6 April. That's the problem,N/A,,N/A,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
c86082a93eb7,0,"Mene 9 Tarik ko recharge Kiya tha March me net aya 29 Tarik ko aur phir 7 april ko dubara band kar diya gya toh kya mene 4,5 din ke liye recharge Kia tha",N/A,,N/A,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
20c1f82b5623,7,Something internet going down and resolution taken more than a day. Service would be fast. Quater aur annual plan will be good but now it vanished.,No/Late Complaint Resolution,,No/Late Complaint Resolution,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
58e9a276c9df,1,Haan karunga,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
bec4fb240a38,5,Good service and good counter support,Good customer Support - call centre,,Good customer Support - call centre,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
e6f39d04402e,1,Net accha chalta h,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
129183d0044c,5,Recharge rate acha hai,Affordable,,Affordable,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
86cb3766e6ad,5,Well done,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
784cfa51a776,2,Sasta hai,Affordable,,Affordable,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
b26353052c63,1,Wiom net kafi behtar hai aur iski sevaen kafi acchi hai yadi agar koi pareshani aati hai to customer ko pareshan hone ki jarurat nahin Hoti turant uska Samadhan nikalta Hai Main to yahi recommend karunga ki India ise d best network off wiom thank you wiom😀😃😄👍👍,Fast Complaint Resolution,,Fast Complaint Resolution,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
d057f8ca9e38,10,Bacho k liye you tube thik thak chal jata h ghar m,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
fb4a3e0d4386,0,Very Bad Service. The internet Supply Keeps on Disconnecting... i am gonna remove this ASAP,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
77dd79c7bc6f,0,"Bhttt bekar service he, har dusre din wifi band ho jata he, kabhi bhi band ho jata he bina ksi warning ke, bohot bekaar he wiom service, me ise band krungi next month",Frequent Disconnections,,Frequent Disconnections,,Bareilly,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
304dfc7e2440,0,Poor network I will be remove,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
75f1ba67fd10,1,Me charge ke Bach na Chahat hu,N/A,,N/A,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
58d3be183c11,0,Mai khud ye wifi harwane wala hu isi mahine,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
f1604afdcaa5,0,Hamara wiom net nhi chal raha he band padha he 15 din se,Internet Down,No/Late Complaint Resolution,Internet Down,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
0a76845cc345,0,500rs ka recharge plan extend hokr 565rs ka ho gya h jo high cost me ata h or jyadatar log 500rs ke under me hi connection lena chahte h,Expensive,,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
56c7fcb4a5f4,0,"1) har month recharge krne k bad bhi wifi service start nahi hoti hamesha customer care pe fone Krna padta hai service activate krane k liye !
 
 2) pehle recharge 500 rs ka tha ab charges me increment kr diya or whi recharge 565 rs ka hoga",Expensive,"RDNI (Recharge Done, No Internet)",Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
a13b492be88a,1,Aap har kuch mahino ke baad recharge price badha rahe ho or aapka network bhi continuously nahi chalta,Expensive,General Bad Service,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
da57f23380fb,5,Recharge amount बदल ke bahut galat kiya.,Expensive,,Expensive,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
87020e3fca03,0,Rate badhana,Expensive,,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
87e6df46e7fe,5,Upgrade charges,Expensive,,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
44c23c6f1f59,1,Etne time sey sahi tha but is bar net recharge mehnga hua pehele sey,Expensive,,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
9915bf6a8f25,0,Net baar baar kharab ho jata hai aur wifi ke price increase ho rahe hai,Expensive,General Bad Service,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
397b8706dc32,0,Recharge price has been increased and now people like me will not be able to recharge every month,Expensive,,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
63ef779dc672,0,Service bohot bekara hai or net bhi slow chalta hai recharge or Other Services bhi Costly kr di hai,Expensive,Slow Speed,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
4945ab97ad22,0,"I have internet installed at my home, but its speed is very slow. And you have also made the recharge expensive.",Expensive,Slow Speed,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
9b8ea8b09f87,0,Bich bich me net chale jata hai and aab recharge nhi expensive kardiya hai. Isse acha toh koi aur net lagwa le. Jisme ott and channels bhi mil jayenge 500 me.,Expensive,"OTT Request, No OTT complaint",Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
9493c6a20fbf,0,Rate high from may onward. Currently rate is good but after this month recharge amount will change from 500 to 565. This price high is not good. So I not recommend anyone to take it. Other company price is low.,Expensive,,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
0bf79fcbecf8,0,"Last time mera auto pay nahe huwa tha or mene complent bhi kiya tha par koi sunwai nahe kiya gaya tha .. mujhe Autopay ka koi facility nahe mili the .fir mujhe pura 500rupya dekar recharge karna pada , or internet 🛜 bhi bich bich me band hota rha 2 2 ghanta k liye ...",Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
42b3fd77a612,5,I give 5 Star because wifi connection becomes very slow and nothing can do with this connection...but some time and this connection doesn't give any access of router...if you want to block someone you have to change your password that's piss me off because you can't give password to any other person for temporary. That's all,Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
15a21eafda94,3,Network coverage issue hai.,Range Issue,,Range Issue,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
b1e0eb920de8,5,Speed kam milti he kabi kabi,Slow Speed,,Slow Speed,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
2a21ed2b9ebb,0,Net aapka bahut slow hai jyada time net chalta bhi nahin Hai band hi rahata hai customer care dwara koi help nahin Hoti Hai,Slow Speed,,Slow Speed,,Mumbai,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
761e16db9079,3,"Issue in connectivity, not solution property",No/Late Complaint Resolution,,No/Late Complaint Resolution,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
636e4c6db629,10,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),
34a08a185d64,0,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
43b55f49fbd1,7,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
b5ac966d5137,5,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
6db0be164796,1,Nothing,N/A,,N/A,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
738bc2227e8e,10,Mujhe wiom net ki service achhi lagti hai,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
12892dbb32fc,1,Poor services,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
9b3da36ca716,5,"Kyu ki mere dosto ke paas pehle wifi laga hou 
 Jinke pass nhi laga ho mai unhe kahunga wiom net lagne ko",General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
a8cfacea871f,10,Sahi chalta hai,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
1dede3199f35,10,Yas,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
962657f565f3,10,Good net speed,General Good Service,,General Good Service,,Agra,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
be105e0d19ff,10,Wifi sahi chalta hay kabhi kabhi dikkat ho jati hay waise sahi hay,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
98e238239ac2,0,Baar baar net band ho jata h renga bhi jada nhi h settap box baar baar band Krna badta h fir ja kar ne chalta h,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
b0a507d23872,4,"SLow internet speed, kabhi bhi net band ho jata h, kabhi speed bht kam ho jati ping fluctuate karti h, paise apne time se mange h wiom wale or 28 din ka recharge hota h 1 month ki jaga pe, kabhi labhi net khatam hone pahle hi net chalna band ho jata h.",Slow Speed,,Slow Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
7d0a4225074c,10,Shahi chalta he,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
acdbaab3b009,7,Kyuki iski wiom ka recharge price jyda h,Expensive,,Expensive,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
f7acf88cca3f,1,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
0c0b74584ca2,3,Bar bar net disconnect hota hai,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
5f45b9c9e57b,0,Rozana pure din mein 2 se 3 ghnte k liye net nahi ata,Frequent Disconnections,,Frequent Disconnections,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
0943c75e6d4b,0,Service,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
b77413594c9b,7,Sahi hai,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
8d8b5a7eeffd,8,Koye bari wajah nhi h ye location k hisab se wiom best hai,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
4501544b835d,0,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
c77e881a6e60,10,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
cb08d4369220,7,"Servic bhut achhi hai 
 Magr bar bar koi na koi problem aati rehti hai",General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
11c919462df7,8,कभी-कभी service thodi kharab ho jaati Hai,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
0feab5b6f82a,0,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
7a3d1b7e5ac7,10,Good,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
a2d0e923a620,8,Good,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
4a90313dded1,5,Thik hai par kabhi kabhi problem bhi aati hai,General Bad Service,,General Bad Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
3374d287e913,0,10/7.5,N/A,,N/A,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),No
4a8311378d50,10,Aap achcha service De saken,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
eac9c6e309cd,0,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
77a92e4dc107,2,Abhi tak samasya solve nahi hui hai,No/Late Complaint Resolution,,No/Late Complaint Resolution,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Mid (3-6 mo),Yes
080cc410f03f,10,Fast service,Good Speed,,Good Speed,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
e1a040799db5,2,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
7d3db2cd5b79,2,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
2b649018dbf8,0,,,,,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
0d274f0e6ba8,10,Bahut kam technical error.,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
a53548fd534c,10,Good network,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),Yes
5357e455f8d7,10,Tension baji nhi hai iss net mai,General Good Service,,General Good Service,,Delhi,0,WhatsApp,Sprint RSP5,2026-04-01,Long (6+ mo),No
